method,queries_evaluated,Recall@5,Recall@10,MRR,nDCG@10,context_noise,avg_retrieved_nodes,missing_predictions
mpnet,888,0.06482,0.083601,0.067362,0.062333,0.97663,8.434685,0
mpnet,888,0.084125,0.089745,0.082908,0.167637,0.983453,8.434685,0
bge,888,0.072553,0.094228,0.075318,0.071121,0.977481,8.935811,0
bge,888,0.09304,0.101673,0.092434,0.188015,0.983725,8.935811,0
e5,888,0.091355,0.10847,0.074511,0.07622,0.973701,8.709459,0
e5,888,0.109237,0.115678,0.087864,0.200767,0.980614,8.709459,0
