method,queries_evaluated,Recall@5,Recall@10,MRR,nDCG@10,context_noise,avg_retrieved_nodes,missing_predictions
bm25_sync,888,0.084752,0.122865,0.082368,0.075906,0.979617,10,0
bm25_sync,888,0.136996,0.188836,0.107827,0.138435,0.974662,10,0
dense_e5,888,0.100443,0.13368,0.102027,0.090852,0.978604,10,0
dense_e5,888,0.139014,0.182632,0.119289,0.147652,0.975113,10,0
hybrid_e5,888,0.091355,0.10847,0.074511,0.07622,0.973701,8.709459,0
hybrid_e5,888,0.109237,0.115678,0.087864,0.200767,0.980614,8.709459,0
